component,factor,best_gross_params,best_gross_hash,best_gross_gross_sharpe,best_gross_net_sharpe,best_net_params,best_net_hash,best_net_gross_sharpe,best_net_net_sharpe,inversion_holds,naive_pick_loses_money,n_variants_net_negative,cost_erosion_at_net_best,gross_pick_rank_by_net,net_sharpe_given_up_by_selecting_on_gross
baseline,1.000000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.026532,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.421788,True,True,48,0.530694,69,0.448320
brokerage_pct,0.750000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.026532,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.421788,True,True,48,0.530694,69,0.448320
brokerage_pct,1.250000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.026532,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.421788,True,True,48,0.530694,69,0.448320
brokerage_per_order_cap,0.750000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.026532,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.421788,True,True,48,0.530694,69,0.448320
brokerage_per_order_cap,1.250000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.026532,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.421788,True,True,48,0.530694,69,0.448320
stt_buy_pct,0.750000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,0.054664,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.465262,False,False,43,0.487221,47,0.410597
stt_buy_pct,1.250000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.107710,"period=3,entry=15,exit=70,cap=15",ae76beabf7ac22a6,0.707237,0.388873,True,True,60,0.318365,82,0.496582
stt_sell_pct,0.750000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,0.054542,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.465176,False,False,43,0.487307,47,0.410633
stt_sell_pct,1.250000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.107588,"period=3,entry=15,exit=70,cap=15",ae76beabf7ac22a6,0.707237,0.388909,True,True,60,0.318329,82,0.496497
exchange_txn_pct,0.750000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.020845,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.424832,True,True,48,0.527650,68,0.445678
exchange_txn_pct,1.250000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.032218,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.418744,True,True,49,0.533739,69,0.450962
sebi_turnover_pct,0.750000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.026340,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.421891,True,True,48,0.530592,69,0.448231
sebi_turnover_pct,1.250000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.026723,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.421686,True,True,48,0.530797,69,0.448409
stamp_duty_buy_pct,0.750000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.014353,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.428309,True,True,48,0.524173,65,0.442663
stamp_duty_buy_pct,1.250000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.038710,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.415267,True,True,49,0.537216,70,0.453977
gst_pct,0.750000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.025635,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.422268,True,True,48,0.530214,69,0.447903
gst_pct,1.250000,"period=2,entry=15,exit=70,cap=3",29cf78ecf0659933,0.966709,-0.027428,"period=2,entry=15,exit=70,cap=15",81ffa17eee649b40,0.952483,0.421308,True,True,48,0.531174,69,0.448737
