param_hash,period,entry,exit,holding_cap,gross_sharpe,net_sharpe,n_position_changes
86b0fcae91cb86e0,2,5,50,3,0.284413,-0.352031,12101
b106370c21adb888,2,5,50,5,0.311309,-0.220954,11199
e60794c3bcfa0167,2,5,50,10,0.284622,-0.162720,10527
d2755c3b9b1bcbaf,2,5,50,15,0.294826,-0.141282,10465
9ad616a7f426550c,2,5,60,3,0.304278,-0.309905,12100
5c50c14abd248f09,2,5,60,5,0.349857,-0.151007,11146
daa3b104d749a2db,2,5,60,10,0.395505,-0.007834,10269
89f29ed93091217a,2,5,60,15,0.369694,-0.010241,10155
69793c6cf0c86a4f,2,5,70,3,0.390087,-0.212791,12099
5a99679555aa7fd8,2,5,70,5,0.436567,-0.046348,11117
acbbdd1d97df74fb,2,5,70,10,0.471433,0.104788,10034
93d286d8e67cac48,2,5,70,15,0.464665,0.120847,9798
8cb7caf0a8606f21,2,10,50,3,0.548857,-0.348104,21811
c112a31b5a77aef1,2,10,50,5,0.593248,-0.110613,19608
c6ed771dd2c5837e,2,10,50,10,0.527486,-0.085809,18310
ea50c73c4d4eb509,2,10,50,15,0.544105,-0.057516,18184
caf729e38a373013,2,10,60,3,0.605636,-0.258388,21761
504b0f207644261e,2,10,60,5,0.674566,0.018793,19334
aabdab7f21d862a7,2,10,60,10,0.624888,0.078651,17471
5e3be3be28204952,2,10,60,15,0.620732,0.096493,17192
1fef3f594916a0c0,2,10,70,3,0.692837,-0.142233,21732
571f674854245cb6,2,10,70,5,0.753477,0.132792,19135
2dc31d7ee8d6bd40,2,10,70,10,0.741332,0.257677,16722
421fe41075d54569,2,10,70,15,0.749676,0.291329,16147
0e797e651ab5d022,2,15,50,3,0.842992,-0.233409,29662
43c9591cc3b84d24,2,15,50,5,0.776647,-0.046757,26487
791d20ac126e93fe,2,15,50,10,0.720065,0.003818,24563
2dc68019a5fa700b,2,15,50,15,0.733173,0.023550,24347
9690fa43cb1bcf3d,2,15,60,3,0.895023,-0.136074,29444
6837760a6c4ddee3,2,15,60,5,0.885628,0.122087,25787
8fd31622ee741160,2,15,60,10,0.809999,0.177927,23070
d96932f3815303b2,2,15,60,15,0.829936,0.213171,22621
29cf78ecf0659933,2,15,70,3,0.966709,-0.026532,29323
bc74a8c121f8525a,2,15,70,5,0.964056,0.249727,25314
0051ba9d37926a76,2,15,70,10,0.937516,0.382020,21729
81ffa17eee649b40,2,15,70,15,0.952483,0.421788,20888
a5dd1cf01d7daf33,3,5,50,3,0.198628,-0.091757,3250
038badf6616f42af,3,5,50,5,0.218301,-0.031261,3074
609e8c869646cba8,3,5,50,10,0.197590,0.025810,2911
fa85fec74db10300,3,5,50,15,0.172707,0.016712,2883
c3e30bd85dabfadc,3,5,60,3,0.231753,-0.058100,3250
44139ffe196a4667,3,5,60,5,0.244767,0.004227,3074
cb571cedf0268cf0,3,5,60,10,0.260783,0.096549,2899
776b1ab29da7d560,3,5,60,15,0.175698,0.044210,2841
a4c4ccd5b2cecefa,3,5,70,3,0.221695,-0.066619,3250
4b2e5ad3af162e76,3,5,70,5,0.243756,0.008012,3074
7cf8797a01a4eb31,3,5,70,10,0.251239,0.093969,2892
32407bbe9eb00db4,3,5,70,15,0.186295,0.061114,2816
5ef715c63f1a87f9,3,10,50,3,0.217296,-0.276120,8842
5ed190beb7ef472c,3,10,50,5,0.282431,-0.113395,8002
903f14e9aa599b6e,3,10,50,10,0.317005,0.009552,7279
74c1ed17b2feea4b,3,10,50,15,0.299680,0.009723,7133
f1491fc5eb39e05f,3,10,60,3,0.281118,-0.204641,8842
d60e6e809242c23d,3,10,60,5,0.365815,-0.017572,7988
11512394fe569758,3,10,60,10,0.429501,0.152121,7141
56d32252721e8f66,3,10,60,15,0.404858,0.157632,6873
b3a9ddb7e996c982,3,10,70,3,0.281856,-0.201069,8841
1288a7848a1b4a6d,3,10,70,5,0.385666,0.011041,7983
869c413abebb390b,3,10,70,10,0.489728,0.231668,7078
de4e3046709e622e,3,10,70,15,0.460625,0.238528,6696
a406d084353ad649,3,15,50,3,0.519001,-0.151429,15178
e475e6f89cce26c6,3,15,50,5,0.521064,0.008914,13361
1b159457027c7848,3,15,50,10,0.526076,0.114305,11851
d7b0cd880a50dc11,3,15,50,15,0.515690,0.127319,11565
dc102885c400758d,3,15,60,3,0.577361,-0.074565,15161
e7bacc840f47b7bc,3,15,60,5,0.596148,0.109781,13270
75957e2a97248629,3,15,60,10,0.657483,0.292077,11424
10585f9b086dfe46,3,15,60,15,0.642112,0.304302,10874
13e834aceb976a54,3,15,70,3,0.583708,-0.060837,15157
00aa41f5ad10200a,3,15,70,5,0.632020,0.159144,13248
020df96b0a077a27,3,15,70,10,0.716325,0.382977,11144
ae76beabf7ac22a6,3,15,70,15,0.707237,0.412997,10314
9f28f8cca8e729e3,4,5,50,3,0.139289,-0.015190,932
0d861e3559146e9c,4,5,50,5,0.173263,0.028440,882
0d15e8d5ad02c540,4,5,50,10,0.067826,-0.018919,847
02edc6d49977df93,4,5,50,15,0.057816,-0.018004,831
b7d4378dca2b1c08,4,5,60,3,0.128015,-0.025641,932
835c27e3dbe3b5d0,4,5,60,5,0.152277,0.009342,882
962ccdae7182b137,4,5,60,10,0.019278,-0.062176,847
fbcbea546038a3e1,4,5,60,15,-0.006369,-0.073875,825
928893b2a95f4752,4,5,70,3,0.132002,-0.021539,932
616953026c0d00ef,4,5,70,5,0.158127,0.016005,882
f703c27af2d6919d,4,5,70,10,0.035666,-0.042716,847
ab2e30a512f96a5d,4,5,70,15,-0.029448,-0.092934,825
3792e7f01b130ce6,4,10,50,3,0.232837,-0.054462,3869
ba591622d3f1cb23,4,10,50,5,0.256457,0.016490,3564
2e86be96afbc5f03,4,10,50,10,0.255776,0.088561,3295
caa7161ddf12300d,4,10,50,15,0.224588,0.080096,3209
b0dfa996c4944c7c,4,10,60,3,0.237697,-0.047691,3869
987ccd8a531f6234,4,10,60,5,0.259454,0.025533,3564
b31e84f7b1cee167,4,10,60,10,0.277513,0.122828,3281
ae00e66d341ce633,4,10,60,15,0.245025,0.116276,3157
c2cf8ad6454d60ce,4,10,70,3,0.243869,-0.041022,3869
6cd9afdfe353b156,4,10,70,5,0.280263,0.049887,3564
8d2c6ffd23787146,4,10,70,10,0.309450,0.162093,3278
227d5e3af05ed3c4,4,10,70,15,0.255706,0.135904,3128
bd3b4c048bdf6999,4,15,50,3,0.294360,-0.155764,8483
654b497282b6cfc5,4,15,50,5,0.310508,-0.036360,7524
946b6f16f4221e7d,4,15,50,10,0.389334,0.128022,6609
8b47a7dba024dec5,4,15,50,15,0.360509,0.122341,6359
31670508956456b5,4,15,60,3,0.305373,-0.141268,8481
2a18126981b5da7a,4,15,60,5,0.355076,0.017155,7514
6a40f645f32f6071,4,15,60,10,0.485629,0.247227,6529
891ec1e890c47bdd,4,15,60,15,0.435966,0.226064,6160
bbadf19c1d436fb9,4,15,70,3,0.316695,-0.128484,8478
b0771b0d840e6838,4,15,70,5,0.367501,0.033983,7509
cd46d0bc94cfbf67,4,15,70,10,0.508694,0.281583,6484
423bbe37fba5a0c7,4,15,70,15,0.447042,0.260567,5995
